problem_size;max_iter;pop_size;prob_mut
3;50;50;0.1
4;50;50;0.1
5;50;50;0.1
6;50;50;0.1
7;50;50;0.1
8;50;50;0.1
9;50;50;0.1
10;50;50;0.5
11;50;50;0.1
12;50;50;0.5
13;50;200;0.5
14;50;50;0.5
15;50;50;0.5
16;50;200;0.75
17;50;100;0.5
18;50;250;0.75
19;50;200;0.25
20;50;250;0.25
21;100;150;0.1
22;100;250;0.25
23;400;250;0.75
24;100;150;0.75
25;100;200;0.25
26;200;200;0.1
27;300;250;1
28;400;250;1
29;400;100;0.5
30;400;50;0.1
31;200;200;0.5
32;300;100;1
33;200;50;0.75
34;400;250;1
35;200;100;0.75
36;400;50;0.5
37;200;100;0.75
38;200;200;0.5
39;400;50;0.5
40;300;150;0.25
41;200;150;0.5
42;200;250;0.75
43;300;250;0.75
44;300;200;0.75
45;400;250;0.25
46;200;250;0.5
47;300;250;0.25
48;30;250;0.75
49;300;200;0.5
